0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
83,1,9,0,0,0,7,0,28,3,2,0,5,0,7,0,2,2,1,0,1,5,0,0,0,1,0,0,0,1,0,2,0,0,2,0,1,0,2,1,0,3,5,2,2,1,3,2,0,1,0,0,1,1,0,0,1,3,2,8,0,2,6,0,0,0,0,2,2,0,0,2,2,3,4,0,2,2,3,1,0,0,2,2,1,0,0,1,0,0,0,0,1,0,3,0,0,0,2,2,4
0,171,0,0,1,0,0,0,4,1,0,0,0,0,2,0,0,0,0,0,9,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,1,1,0,0,2,1,0,0,0,0,0,2,2,0,0,0,0,0,1,0,1,1,0,0,1,0,0,2,0,1,0,0,0,2,0,0,3,0,0,14,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
7,0,174,0,1,0,3,0,4,1,0,1,2,0,7,0,2,1,1,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,1,0,0,2,1,1,0,6,0,0,0,3,1,2,0,0,0,0,1,0,1,0,0,0,1,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1,0,0,0,0,2,0,0,0,0,1,1,2,0
1,0,0,196,2,2,0,1,0,0,1,1,0,5,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,1,2,0,1,0,2,1,1,2,2,0,0,1,1,0,1,0,0,7,0
0,0,1,8,140,8,0,2,2,1,6,2,0,0,2,1,5,0,0,0,0,0,2,0,0,0,5,0,0,0,1,0,0,0,2,1,4,0,3,3,0,0,0,2,2,0,0,0,0,1,2,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,2,0,2,1,0,1,0,2,0,0,2,0,0,0,1,0,2,0,1,0,2,0,17,1
1,1,1,8,1,122,0,0,1,2,4,6,0,10,0,3,1,0,0,0,1,2,5,0,0,1,2,0,0,0,0,0,1,0,2,0,1,3,0,4,0,0,1,0,1,2,0,2,15,0,3,0,0,1,1,1,2,1,0,0,0,0,0,0,1,2,1,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,2,0,0,3,3,7,1,0,1,1,1,1,1,2,0,1,3,0
0,0,0,0,0,0,203,0,3,1,0,0,4,1,0,0,2,0,0,0,0,1,1,5,1,0,0,0,0,0,0,8,1,0,0,0,1,0,0,0,0,0,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3
0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,2,2,0,0,0,0,0,0,1,3,1,0,0,1,0,1,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,0,0,0,1,0,0,0,0,0,4,0,0,2,0,0,0,3,1,1,0,1,0,1,1,1,1,0,0,0
16,1,2,0,0,0,2,0,100,3,1,0,5,0,4,0,2,4,1,0,2,2,5,0,0,0,5,3,3,0,0,0,0,0,1,0,2,1,0,3,0,9,13,1,0,2,0,1,0,4,1,0,2,0,1,2,1,0,0,9,1,0,1,0,0,1,0,1,0,0,0,1,1,5,1,0,1,5,3,0,1,0,1,0,0,1,0,0,0,2,0,0,0,1,5,0,0,1,2,0,1
4,0,6,1,1,0,2,0,1,102,0,1,2,0,2,3,2,0,2,15,0,0,0,0,0,2,1,0,1,1,1,0,2,1,1,0,6,0,1,1,1,0,1,0,1,2,1,1,0,4,5,0,0,0,0,4,19,2,2,3,0,2,2,1,0,0,2,4,0,0,0,0,2,0,0,0,1,1,2,0,4,0,1,1,0,2,0,0,0,2,0,0,2,1,1,2,5,0,2,1,1
1,1,0,7,3,4,0,0,0,1,109,3,1,17,1,3,5,1,1,2,0,1,0,0,0,1,4,1,1,0,0,1,0,0,5,3,0,1,0,1,0,0,1,2,0,0,1,1,1,0,7,0,0,0,0,0,2,0,0,2,0,5,0,0,0,1,4,3,0,0,0,4,0,0,1,0,2,0,2,1,0,0,2,0,0,0,0,4,0,9,0,1,1,0,0,1,4,2,0,5,2
0,0,0,1,0,5,0,2,0,0,1,188,0,2,0,2,1,0,1,1,0,0,1,0,0,3,1,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,2,3,1,0,0,9,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,1,2,0,1,0,0
4,2,2,0,1,0,12,0,2,2,0,0,149,2,1,0,4,0,0,0,0,4,3,2,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,7,0,1,0,2,0,0,1,0,0,0,0,0,0,1,2,4,0,0,0,0,1,0,1,0,2,0,3,0,0,2,1,1,0,0,0,1,0,1,0,2,0,1,3,2,0,0,0,0,0,1,0,1,2,2,2,3,0,4
0,0,0,5,0,12,0,0,0,0,6,1,1,150,0,2,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,4,4,2,1,0,2,0,1,0,1,0,0,0,3,10,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,1,0,0,1,2,1,1,5,0,0,0,0,0,1,0,0,1,0,0,0,3,0,2,3,0,0,0,1,2,3,3,0,0,3,1
2,0,2,0,0,0,1,0,6,1,0,0,3,0,159,1,2,6,1,3,2,4,4,2,1,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,2,0,0,1,1,1,0,0,0,0,16,0,0,1,0,0,0,1,0,0,0,2,3,0,0,3,0,0
0,0,0,1,3,2,0,0,2,4,5,1,0,1,0,107,0,0,3,0,2,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,6,0,0,2,0,2,0,3,3,1,0,3,9,1,1,3,2,0,0,0,3,2,4,0,0,5,2,0,2,2,4,1,0,0,1,2,0,0,0,4,0,3,1,0,0,3,1,0,1,1,2,8,0,10,0,0,0,0,0,3,6,2,0,5,0
1,2,1,1,3,3,0,0,1,3,3,1,3,0,1,1,135,5,0,2,0,2,0,2,0,2,0,0,0,0,0,2,1,0,2,0,3,0,1,4,3,0,3,1,0,1,1,0,1,2,1,1,1,0,0,2,0,4,1,0,1,0,0,8,0,1,2,1,0,1,0,1,0,2,1,0,0,0,0,1,1,0,1,0,0,2,3,2,1,0,0,0,1,2,0,7,0,0,1,1,2
4,0,1,0,0,1,0,0,6,0,1,0,0,1,10,0,4,127,0,0,0,8,5,0,1,0,0,3,0,2,2,1,0,0,0,0,0,0,0,1,0,2,1,0,0,1,2,0,0,1,1,0,0,0,0,1,0,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,2,15,0,0,0,0,0,1,2,0,1,6,1,0,0,0,0,0,0,0,0,0,18,1,0,0,8,0,0
